"Protein","Protein Description"
"XP_020604731.1","FERM, RhoGEF and pleckstrin domain-containing protein 2-like [Orbicella faveolata]"
"XP_020604732.1","excitatory amino acid transporter 1-like [Orbicella faveolata]"
"XP_020604734.1","tyrosine-protein phosphatase non-receptor type 4-like [Orbicella faveolata]"
"XP_020604744.1","proprotein convertase subtilisin/kexin type 5-like isoform X1 [Orbicella faveolata]"
"XP_020604748.1","60S ribosomal protein L10a-like [Orbicella faveolata]"
"XP_020604754.1","tetraspanin-17-like [Orbicella faveolata]"
"XP_020604755.1","transmembrane and TPR repeat-containing protein 2-like [Orbicella faveolata]"
"XP_020604758.1","excitatory amino acid transporter 1-like [Orbicella faveolata]"
"XP_020604759.1","calcium/calmodulin-dependent protein kinase type II alpha chain-like [Orbicella faveolata]"
"XP_020604763.1","uncharacterized protein LOC110043627 [Orbicella faveolata]"
"XP_020604764.1","O-acetyl-ADP-ribose deacetylase 1-like [Orbicella faveolata]"
"XP_020604767.1","lysosomal alpha-mannosidase-like [Orbicella faveolata]"
"XP_020604772.1","gamma-tubulin complex component 2-like [Orbicella faveolata]"
"XP_020604774.1","catalase-like [Orbicella faveolata]"
"XP_020604776.1","tyrosine-protein phosphatase non-receptor type 13-like [Orbicella faveolata]"
"XP_020604778.1","uncharacterized protein LOC110043642 [Orbicella faveolata]"
"XP_020604792.1","histone H1E-like [Orbicella faveolata]"
"XP_020604794.1","hydroxysteroid dehydrogenase-like protein 2 [Orbicella faveolata]"
"XP_020604796.1","uncharacterized protein LOC110043661 [Orbicella faveolata]"
"XP_020604797.1","selenoprotein T1b-like, partial [Orbicella faveolata]"
"XP_020604804.1","uncharacterized protein LOC110043668 isoform X1 [Orbicella faveolata]"
"XP_020604816.1","UDP-glucose:glycoprotein glucosyltransferase 1-like [Orbicella faveolata]"
"XP_020604823.1","uncharacterized protein LOC110043675 isoform X2 [Orbicella faveolata]"
"XP_020604826.1","ribosome biogenesis protein WDR12 homolog [Orbicella faveolata]"
"XP_020604828.1","acetyl-CoA carboxylase-like isoform X1 [Orbicella faveolata]"
"XP_020604832.1","methyltransferase-like protein 25 isoform X1 [Orbicella faveolata]"
"XP_020604836.1","uncharacterized protein LOC110043691 [Orbicella faveolata]"
"XP_020604837.1","uncharacterized protein LOC110043694 isoform X1 [Orbicella faveolata]"
"XP_020604843.1","UDP-glucose:glycoprotein glucosyltransferase 1-like isoform X1 [Orbicella faveolata]"
"XP_020604846.1","tubby-related protein 3-like [Orbicella faveolata]"
"XP_020604847.1","uncharacterized protein LOC110043701 [Orbicella faveolata]"
"XP_020604849.1","beta-galactosidase-like [Orbicella faveolata]"
"XP_020604852.1","uncharacterized protein LOC110043705 [Orbicella faveolata]"
"XP_020604854.1","uncharacterized protein LOC110043706 [Orbicella faveolata]"
"XP_020604861.1","cytochrome P450 3A7-like isoform X1 [Orbicella faveolata]"
"XP_020604863.1","cytochrome P450 3A12-like isoform X3 [Orbicella faveolata]"
"XP_020604869.1","calpain-7-like [Orbicella faveolata]"
"XP_020604872.1","balbiani ring protein 3-like [Orbicella faveolata]"
"XP_020604886.1","dickkopf-related protein 3-like [Orbicella faveolata]"
"XP_020604888.1","extracellular matrix protein FRAS1-like isoform X1 [Orbicella faveolata]"
"XP_020604890.1","short transient receptor potential channel 5-like [Orbicella faveolata]"
"XP_020604892.1","cytochrome P450 4c21-like [Orbicella faveolata]"
"XP_020604893.1","proprotein convertase subtilisin/kexin type 5-like [Orbicella faveolata]"
"XP_020604901.1","catalase-like isoform X1 [Orbicella faveolata]"
"XP_020604902.1","catalase-like isoform X2 [Orbicella faveolata]"
"XP_020604908.1","cytochrome P450 3A8-like [Orbicella faveolata]"
"XP_020604915.1","uncharacterized protein LOC110043756 [Orbicella faveolata]"
"XP_020604917.1","CCR4-NOT transcription complex subunit 6-like [Orbicella faveolata]"
"XP_020604918.1","annexin A7-like isoform X1 [Orbicella faveolata]"
"XP_020604920.1","annexin A5-like isoform X2 [Orbicella faveolata]"
"XP_020604923.1","short transient receptor potential channel 5-like isoform X1 [Orbicella faveolata]"
"XP_020604927.1","uncharacterized protein LOC110043765 [Orbicella faveolata]"
"XP_020604931.1","mediator of RNA polymerase II transcription subunit 14-like isoform X1 [Orbicella faveolata]"
"XP_020604939.1","proteasome-associated protein ECM29 homolog [Orbicella faveolata]"
"XP_020604940.1","vitellogenin-2-like [Orbicella faveolata]"
"XP_020604956.1","gamma-glutamyltranspeptidase 1-like [Orbicella faveolata]"
"XP_020604957.1","uncharacterized protein LOC110043788 [Orbicella faveolata]"
"XP_020604958.1","cysteine and tyrosine-rich protein 1-like [Orbicella faveolata]"
"XP_020604960.1","transcription factor BTF3 homolog 4-like [Orbicella faveolata]"
"XP_020604966.1","replication factor C subunit 1-like [Orbicella faveolata]"
"XP_020604970.1","uncharacterized protein LOC110043804 [Orbicella faveolata]"
"XP_020604974.1","exosome complex component MTR3-like [Orbicella faveolata]"
"XP_020604982.1","endoribonuclease LACTB2-like [Orbicella faveolata]"
"XP_020604983.1","testicular haploid expressed gene protein-like [Orbicella faveolata]"
"XP_020604986.1","rab5 GDP/GTP exchange factor-like isoform X1 [Orbicella faveolata]"
"XP_020604991.1","ryncolin-1-like [Orbicella faveolata]"
"XP_020605013.1","transcriptional activator protein Pur-alpha-like [Orbicella faveolata]"
"XP_020605014.1","FAS-associated factor 2-like [Orbicella faveolata]"
"XP_020605019.1","uncharacterized protein LOC110043862 [Orbicella faveolata]"
"XP_020605030.1","uncharacterized protein LOC110043873 [Orbicella faveolata]"
"XP_020605041.1","uncharacterized protein LOC110043881 [Orbicella faveolata]"
"XP_020605043.1","spermidine synthase-like isoform X1 [Orbicella faveolata]"
"XP_020605051.1","uncharacterized protein LOC110043887 isoform X1 [Orbicella faveolata]"
"XP_020605053.1","uncharacterized protein LOC110043887 isoform X2 [Orbicella faveolata]"
"XP_020605056.1","uncharacterized protein LOC110043888 [Orbicella faveolata]"
"XP_020605062.1","gelsolin-like protein 1 [Orbicella faveolata]"
"XP_020605063.1","severin-like [Orbicella faveolata]"
"XP_020605065.1","gelsolin-like protein 2 [Orbicella faveolata]"
"XP_020605066.1","gelsolin-like protein 1 [Orbicella faveolata]"
"XP_020605067.1","nucleobindin-2-like [Orbicella faveolata]"
"XP_020605072.1","nucleobindin-2-like [Orbicella faveolata]"
"XP_020605073.1","liprin-alpha-1-like [Orbicella faveolata]"
"XP_020605074.1","peptidyl-prolyl cis-trans isomerase H-like [Orbicella faveolata]"
"XP_020605075.1","liprin-alpha-2-like isoform X1 [Orbicella faveolata]"
"XP_020605077.1","uncharacterized protein LOC110043908 [Orbicella faveolata]"
"XP_020605091.1","uncharacterized protein LOC110043928 [Orbicella faveolata]"
"XP_020605092.1","ATP-binding cassette sub-family D member 3-like [Orbicella faveolata]"
"XP_020605093.1","dystroglycan-like [Orbicella faveolata]"
"XP_020605095.1","ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1-like [Orbicella faveolata]"
"XP_020605096.1","3-hydroxyacyl-CoA dehydrogenase type-2-like isoform X1 [Orbicella faveolata]"
"XP_020605104.1","uncharacterized protein LOC110043939 [Orbicella faveolata]"
"XP_020605105.1","uncharacterized protein LOC110043940 [Orbicella faveolata]"
"XP_020605112.1","uncharacterized protein LOC110043948 [Orbicella faveolata]"
"XP_020605114.1","N-alpha-acetyltransferase 35, NatC auxiliary subunit-like [Orbicella faveolata]"
"XP_020605117.1","probable serine incorporator [Orbicella faveolata]"
"XP_020605119.1","tetraspanin-3-like [Orbicella faveolata]"
"XP_020605121.1","lon protease homolog, mitochondrial-like [Orbicella faveolata]"
"XP_020605123.1","SHC-transforming protein 1-like [Orbicella faveolata]"
"XP_020605126.1","uncharacterized protein LOC110043962 [Orbicella faveolata]"
"XP_020605127.1","uncharacterized protein LOC110043963 isoform X1 [Orbicella faveolata]"
"XP_020605131.1","poly(A) polymerase type 3-like [Orbicella faveolata]"
"XP_020605134.1","papilin-like [Orbicella faveolata]"
"XP_020605139.1","von Willebrand factor A domain-containing protein 5A-like [Orbicella faveolata]"
"XP_020605141.1","uncharacterized protein LOC110043977 isoform X1 [Orbicella faveolata]"
"XP_020605150.1","poly(A) polymerase beta-like [Orbicella faveolata]"
"XP_020605153.1","DNA-directed RNA polymerase II subunit RPB9-like [Orbicella faveolata]"
"XP_020605161.1","inositol-trisphosphate 3-kinase A-like isoform X1 [Orbicella faveolata]"
"XP_020605182.1","granulins-like [Orbicella faveolata]"
"XP_020605184.1","protein FAM65B-like isoform X1 [Orbicella faveolata]"
"XP_020605186.1","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1-like isoform X1 [Orbicella faveolata]"
"XP_020605189.1","uncharacterized protein LOC110044015 [Orbicella faveolata]"
"XP_020605191.1","organic cation transporter protein-like [Orbicella faveolata]"
"XP_020605192.1","organic cation transporter protein-like [Orbicella faveolata]"
"XP_020605194.1","organic cation transporter protein-like [Orbicella faveolata]"
"XP_020605205.1","uncharacterized protein LOC110044027 isoform X1 [Orbicella faveolata]"
"XP_020605210.1","uncharacterized protein LOC110044028 [Orbicella faveolata]"
"XP_020605211.1","60S ribosomal protein L32-like [Orbicella faveolata]"
"XP_020605213.1","organic cation transporter protein-like [Orbicella faveolata]"
"XP_020605218.1","prolyl 3-hydroxylase 2-like, partial [Orbicella faveolata]"
"XP_020605222.1","uncharacterized protein LOC110044041 [Orbicella faveolata]"
"XP_020605223.1","E3 ubiquitin-protein ligase DZIP3-like [Orbicella faveolata]"
"XP_020605225.1","uncharacterized protein LOC110044046 [Orbicella faveolata]"
"XP_020605227.1","uncharacterized protein LOC110044049 [Orbicella faveolata]"
"XP_020605229.1","katanin p60 ATPase-containing subunit A-like 2 [Orbicella faveolata]"
"XP_020605233.1","LOW QUALITY PROTEIN: sodium/hydrogen exchanger 6-like [Orbicella faveolata]"
"XP_020605234.1","hemicentin-1-like [Orbicella faveolata]"
"XP_020605235.1","tyrosine kinase receptor Cad96Ca-like, partial [Orbicella faveolata]"
"XP_020605237.1","uncharacterized protein LOC110044057 [Orbicella faveolata]"
"XP_020605242.1","BTB/POZ domain-containing protein KCTD7-like isoform X1 [Orbicella faveolata]"
"XP_020605245.1","uncharacterized protein LOC110044062 [Orbicella faveolata]"
"XP_020605255.1","26S protease regulatory subunit 4 [Orbicella faveolata]"
"XP_020605257.1","LOW QUALITY PROTEIN: protein NLRC5-like [Orbicella faveolata]"
"XP_020605263.1","uncharacterized protein LOC110044085 [Orbicella faveolata]"
"XP_020605265.1","vasodilator-stimulated phosphoprotein-like isoform X1 [Orbicella faveolata]"
"XP_020605274.1","peptidyl-prolyl cis-trans isomerase-like [Orbicella faveolata]"
"XP_020605289.1","E3 ubiquitin-protein ligase NEDD4-like [Orbicella faveolata]"
"XP_020605290.1","electron transfer flavoprotein subunit alpha, mitochondrial-like, partial [Orbicella faveolata]"
"XP_020605291.1","E3 ubiquitin-protein ligase NEDD4-like isoform X1 [Orbicella faveolata]"
"XP_020605298.1","uncharacterized protein LOC110044117 [Orbicella faveolata]"
"XP_020605303.1","beta-1,3-galactosyltransferase 4-like [Orbicella faveolata]"
"XP_020605319.1","uncharacterized protein LOC110044139 [Orbicella faveolata]"
"XP_020605327.1","lipoxygenase homology domain-containing protein 1-like [Orbicella faveolata]"
"XP_020605328.1","uncharacterized protein LOC110044144 [Orbicella faveolata]"
"XP_020605330.1","uncharacterized protein LOC110044147 [Orbicella faveolata]"
"XP_020605332.1","arrestin domain-containing protein A-like [Orbicella faveolata]"
"XP_020605333.1","uncharacterized protein LOC110044149 isoform X1 [Orbicella faveolata]"
"XP_020605335.1","uncharacterized protein LOC110044150 [Orbicella faveolata]"
"XP_020605336.1","uncharacterized protein LOC110044151 [Orbicella faveolata]"
"XP_020605346.1","uncharacterized protein LOC110044164 [Orbicella faveolata]"
"XP_020605352.1","PITH domain-containing protein 1-like [Orbicella faveolata]"
"XP_020605355.1","eukaryotic initiation factor 4A-I-like [Orbicella faveolata]"
"XP_020605356.1","intraflagellar transport protein 46 homolog isoform X1 [Orbicella faveolata]"
"XP_020605363.1","uncharacterized protein LOC110044198 [Orbicella faveolata]"
"XP_020605364.1","uncharacterized protein LOC110044199 [Orbicella faveolata]"
"XP_020605366.1","uncharacterized protein LOC110044200 isoform X2 [Orbicella faveolata]"
"XP_020605368.1","uncharacterized protein LOC110044202 [Orbicella faveolata]"
"XP_020605374.1","cytokine receptor-like factor 3 [Orbicella faveolata]"
"XP_020605377.1","ras-related GTP-binding protein A [Orbicella faveolata]"
"XP_020605379.1","uncharacterized protein LOC110044214 isoform X1 [Orbicella faveolata]"
"XP_020605382.1","uncharacterized protein LOC110044215 [Orbicella faveolata]"
"XP_020605383.1","uncharacterized protein LOC110044216 isoform X1 [Orbicella faveolata]"
"XP_020605389.1","uncharacterized protein LOC110044219 isoform X1 [Orbicella faveolata]"
"XP_020605392.1","uncharacterized protein LOC110044221 isoform X1 [Orbicella faveolata]"
"XP_020605394.1","uncharacterized protein LOC110044222 isoform X1 [Orbicella faveolata]"
"XP_020605396.1","uncharacterized protein LOC110044223 isoform X1 [Orbicella faveolata]"
"XP_020605401.1","electron transfer flavoprotein subunit beta-like [Orbicella faveolata]"
"XP_020605406.1","protein IWS1 homolog [Orbicella faveolata]"
"XP_020605409.1","uncharacterized protein LOC110044230 [Orbicella faveolata]"
"XP_020605411.1","N-acetylneuraminate lyase-like, partial [Orbicella faveolata]"
"XP_020605416.1","uncharacterized protein LOC110044238 [Orbicella faveolata]"
"XP_020605417.1","intersectin-1-like [Orbicella faveolata]"
"XP_020605418.1","uncharacterized protein LOC110044240 [Orbicella faveolata]"
"XP_020605420.1","uncharacterized protein LOC110044241 isoform X1 [Orbicella faveolata]"
"XP_020605422.1","uncharacterized protein LOC110044242 isoform X1 [Orbicella faveolata]"
"XP_020605425.1","uncharacterized protein LOC110044244 isoform X1 [Orbicella faveolata]"
"XP_020605429.1","sodium/potassium/calcium exchanger 3-like isoform X1 [Orbicella faveolata]"
"XP_020605430.1","riboflavin-binding protein-like [Orbicella faveolata]"
"XP_020605431.1","uncharacterized protein LOC110044249 [Orbicella faveolata]"
"XP_020605436.1","ubiquitin-like-conjugating enzyme ATG3 [Orbicella faveolata]"
"XP_020605437.1","uncharacterized protein LOC110044255 [Orbicella faveolata]"
"XP_020605438.1","protein FAM26E-like [Orbicella faveolata]"
"XP_020605441.1","inactive rhomboid protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020605447.1","dnaJ homolog subfamily C member 13-like [Orbicella faveolata]"
"XP_020605450.1","dnaJ homolog subfamily C member 13-like [Orbicella faveolata]"
"XP_020605453.1","CSC1-like protein 2 [Orbicella faveolata]"
"XP_020605454.1","tubulin beta chain-like isoform X1 [Orbicella faveolata]"
"XP_020605470.1","glutathione S-transferase Mu 1-like [Orbicella faveolata]"
"XP_020605472.1","glutathione S-transferase Mu 2-like isoform X2 [Orbicella faveolata]"
"XP_020605485.1","protein ELYS-like [Orbicella faveolata]"
"XP_020605488.1","DBH-like monooxygenase protein 2 homolog [Orbicella faveolata]"
"XP_020605489.1","FK506-binding protein 2-like [Orbicella faveolata]"
"XP_020605490.1","mucin-17-like isoform X1 [Orbicella faveolata]"
"XP_020605496.1","xaa-Pro aminopeptidase 1-like [Orbicella faveolata]"
"XP_020605497.1","protein ELYS-like [Orbicella faveolata]"
"XP_020605508.1","uncharacterized protein LOC110044309 [Orbicella faveolata]"
"XP_020605512.1","GFP-like fluorescent chromoprotein cFP484 [Orbicella faveolata]"
"XP_020605513.1","GFP-like fluorescent chromoprotein cFP484 [Orbicella faveolata]"
"XP_020605518.1","Golgi to ER traffic protein 4 homolog [Orbicella faveolata]"
"XP_020605521.1","GFP-like fluorescent chromoprotein cFP484 isoform X1 [Orbicella faveolata]"
"XP_020605530.1","40S ribosomal protein S2 [Orbicella faveolata]"
"XP_020605533.1","ADAM 17-like protease [Orbicella faveolata]"
"XP_020605543.1","CD151 antigen-like [Orbicella faveolata]"
"XP_020605544.1","beta-1,4-N-acetylgalactosaminyltransferase 3-like [Orbicella faveolata]"
"XP_020605545.1","uncharacterized protein LOC110044352 [Orbicella faveolata]"
"XP_020605546.1","vacuolar protein sorting-associated protein 28 homolog [Orbicella faveolata]"
"XP_020605550.1","caspase recruitment domain-containing protein 11-like [Orbicella faveolata]"
"XP_020605560.1","tetraspanin-4-like [Orbicella faveolata]"
"XP_020605561.1","uncharacterized protein LOC110044363 [Orbicella faveolata]"
"XP_020605563.1","glutathione S-transferase U20-like [Orbicella faveolata]"
"XP_020605571.1","uncharacterized protein LOC110044372 [Orbicella faveolata]"
"XP_020605574.1","uncharacterized methyltransferase-like C25B8.10 [Orbicella faveolata]"
"XP_020605587.1","protein OSCP1-like [Orbicella faveolata]"
"XP_020605588.1","myophilin-like [Orbicella faveolata]"
"XP_020605589.1","myophilin-like [Orbicella faveolata]"
